epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.706,1.77616,1.15502,1.18172,0.80978,0.72027,0.78796,0.42477,1.57036,0.98167,1.17189,0.000554189,0.000554189,0.000554189
2,301.529,1.72098,0.92615,1.14886,0.86774,0.79235,0.85732,0.44598,1.56166,0.8601,1.17223,0.00107323,0.00107323,0.00107323
3,449.691,1.71396,0.9059,1.14057,0.88073,0.78567,0.85734,0.46861,1.5363,0.85202,1.14278,0.0015556,0.0015556,0.0015556
4,598.124,1.68247,0.87654,1.12738,0.8667,0.78336,0.85534,0.47671,1.53226,0.77742,1.1451,0.00150197,0.00150197,0.00150197
5,742.512,1.65513,0.84126,1.12503,0.87294,0.80012,0.86031,0.49615,1.46071,0.75756,1.11704,0.00144696,0.00144696,0.00144696
6,886.376,1.63988,0.81859,1.11278,0.89977,0.77605,0.85268,0.49264,1.47074,0.75447,1.11995,0.00139195,0.00139195,0.00139195
7,1027.52,1.62392,0.80221,1.10519,0.87121,0.80901,0.88122,0.50947,1.44318,0.73151,1.10514,0.00133693,0.00133693,0.00133693
8,1171.31,1.60966,0.78525,1.10205,0.89995,0.82152,0.88752,0.51293,1.45238,0.7233,1.11039,0.00128192,0.00128192,0.00128192
9,1315.29,1.59525,0.77424,1.09616,0.91848,0.82486,0.89194,0.52374,1.40387,0.67771,1.09447,0.00122691,0.00122691,0.00122691
10,1458.86,1.58378,0.75465,1.08876,0.90623,0.83877,0.90513,0.54027,1.39997,0.66893,1.08834,0.0011719,0.0011719,0.0011719
11,1605.69,1.57743,0.7528,1.08406,0.89245,0.80616,0.87134,0.52006,1.42776,0.69765,1.09899,0.00111689,0.00111689,0.00111689
12,1747.14,1.56854,0.74101,1.08274,0.90418,0.83293,0.89052,0.53227,1.4205,0.66117,1.09117,0.00106188,0.00106188,0.00106188
13,1889.77,1.54596,0.72637,1.07617,0.91108,0.83483,0.90579,0.54435,1.39076,0.68215,1.07616,0.00100687,0.00100687,0.00100687
14,2033.38,1.55403,0.71632,1.07215,0.92524,0.85941,0.92575,0.56021,1.36498,0.63279,1.0727,0.000951857,0.000951857,0.000951857
15,2176.55,1.53149,0.70588,1.06834,0.92008,0.84512,0.91532,0.54013,1.41513,0.64518,1.08774,0.000896846,0.000896846,0.000896846
16,2317.21,1.52201,0.70192,1.06982,0.90953,0.86525,0.91924,0.55352,1.37657,0.62261,1.0707,0.000841835,0.000841835,0.000841835
17,2458.52,1.52336,0.69284,1.06581,0.93258,0.86425,0.92197,0.55157,1.40623,0.6157,1.07542,0.000786824,0.000786824,0.000786824
18,2600.66,1.51407,0.68125,1.05922,0.91566,0.86573,0.92419,0.56573,1.36615,0.60942,1.06406,0.000731813,0.000731813,0.000731813
19,2742.49,1.50353,0.67557,1.06152,0.93094,0.85698,0.91814,0.56524,1.35704,0.60426,1.06025,0.000676802,0.000676802,0.000676802
20,2883.88,1.49486,0.67526,1.0604,0.92162,0.8722,0.92802,0.55968,1.36909,0.60404,1.06614,0.000621791,0.000621791,0.000621791
21,3022.22,1.51401,0.64454,1.07361,0.91647,0.86814,0.92344,0.56375,1.36638,0.60293,1.06591,0.00056678,0.00056678,0.00056678
22,3156.45,1.50942,0.63886,1.06802,0.92404,0.85959,0.91796,0.5663,1.35152,0.59498,1.05558,0.000511769,0.000511769,0.000511769
23,3293.4,1.49868,0.63039,1.06428,0.93644,0.8587,0.91838,0.56563,1.37013,0.59771,1.06077,0.000456758,0.000456758,0.000456758
24,3427.94,1.49009,0.62435,1.05827,0.93777,0.87877,0.93544,0.5838,1.32622,0.57275,1.05013,0.000401747,0.000401747,0.000401747
25,3564.74,1.4756,0.61344,1.06028,0.93344,0.86888,0.9298,0.57549,1.34861,0.5761,1.0531,0.000346736,0.000346736,0.000346736
26,3699.4,1.47141,0.60926,1.05422,0.92918,0.87216,0.93109,0.58984,1.3003,0.56504,1.04055,0.000291725,0.000291725,0.000291725
27,3835.88,1.46349,0.60071,1.05291,0.93095,0.88201,0.93704,0.58746,1.31998,0.55894,1.04718,0.000236714,0.000236714,0.000236714
28,3971.35,1.45512,0.59348,1.051,0.92726,0.88306,0.93489,0.59097,1.32835,0.5596,1.05076,0.000181703,0.000181703,0.000181703
29,4108.11,1.44523,0.58749,1.04294,0.92998,0.88543,0.93815,0.59302,1.31152,0.55161,1.04244,0.000126692,0.000126692,0.000126692
30,4245.33,1.43748,0.57967,1.04041,0.93387,0.88617,0.93839,0.59174,1.30881,0.54695,1.04001,7.1681e-05,7.1681e-05,7.1681e-05
